Principal Component,Explained Variance Ratio,Cumulative Explained Variance
595,0.00022186092656918682,0.9657453998952107
596,0.0002216905355387641,0.9659670904307495
597,0.00022076506835309916,0.9661878554991026
598,0.00022032695748282078,0.9664081824565854
599,0.00021973186629719918,0.9666279143228826
600,0.00021948055591904393,0.9668473948788017
601,0.0002188576887774312,0.967066252567579
602,0.00021814827859029147,0.9672844008461694
603,0.00021804529167113312,0.9675024461378405
604,0.00021739051572875116,0.9677198366535693
605,0.0002167120027311702,0.9679365486563005
606,0.0002162012896178135,0.9681527499459184
607,0.00021575301436570424,0.9683685029602841
608,0.00021559129588812534,0.9685840942561722
609,0.00021507044924655154,0.9687991647054187
610,0.00021485999105369841,0.9690140246964725
611,0.00021405135752348173,0.969228076053996
612,0.00021374755759694293,0.9694418236115929
613,0.0002129578448500188,0.9696547814564429
614,0.0002120851780406021,0.9698668666344835
615,0.0002112950974946163,0.9700781617319781
616,0.00021111187830809522,0.9702892736102863
617,0.0002103241601566899,0.9704995977704429
618,0.00020946353496594417,0.9707090613054089
619,0.00020907097677415286,0.970918132282183
620,0.00020824562407468982,0.9711263779062578
621,0.00020760889402683558,0.9713339868002846
622,0.00020725201369221167,0.9715412388139768
623,0.00020708064724132833,0.9717483194612181
624,0.00020683007604918168,0.9719551495372672
625,0.00020654440736753138,0.9721616939446348
626,0.0002054839980563649,0.9723671779426911
627,0.0002048378386795855,0.9725720157813708
628,0.00020447236829921223,0.97277648814967
629,0.00020407902434772858,0.9729805671740177
630,0.00020383103072040608,0.9731843982047381
631,0.00020348862324844324,0.9733878868279866
632,0.0002017864563932462,0.9735896732843798
633,0.00020139550310454,0.9737910687874843
634,0.00020114218834198883,0.9739922109758263
635,0.00020066981825592474,0.9741928807940823
636,0.00019975950221473525,0.974392640296297
637,0.00019937444810891206,0.9745920147444059
638,0.00019895789375744862,0.9747909726381634
639,0.00019808813032690185,0.9749890607684903
640,0.0001977869151739696,0.9751868476836643
641,0.0001970308060083609,0.9753838784896727
642,0.00019688133513472072,0.9755807598248074
643,0.00019623394822950544,0.975776993773037
644,0.00019573066031731715,0.9759727244333543
645,0.0001953700223851921,0.9761680944557395
646,0.00019484158872383735,0.9763629360444633
647,0.00019360975794767448,0.976556545802411
648,0.00019326835370256628,0.9767498141561136
649,0.00019246246012730644,0.9769422766162409
650,0.00019230742332622687,0.9771345840395671
651,0.0001918701666179937,0.9773264542061851
652,0.00019158642997233263,0.9775180406361574
653,0.0001910710297476932,0.9777091116659051
654,0.00019044768829086937,0.977899559354196
655,0.0001897060275694868,0.9780892653817655
656,0.00018917432822293704,0.9782784397099885
657,0.0001887978177347835,0.9784672375277232
658,0.00018847358683724355,0.9786557111145605
659,0.00018790825305000375,0.9788436193676106
660,0.00018687729133516363,0.9790304966589457
661,0.00018670438443697097,0.9792172010433827
662,0.00018610859248700216,0.9794033096358697
663,0.00018582193055457824,0.9795891315664244
664,0.00018554794859009457,0.9797746795150144
665,0.00018538447198380962,0.9799600639869982
666,0.00018511834612425,0.9801451823331224
